iter	Passed	Remaining
1349	91788	25224
1350	91861	25158
1351	91928	25090
1352	91994	25021
1353	92059	24952
1354	92127	24884
1355	92191	24815
1356	92256	24746
1357	92322	24678
1358	92385	24608
1359	92455	24541
1360	92526	24474
1361	92592	24405
1362	92660	24337
1363	92726	24269
1364	92791	24200
1365	92859	24132
1366	92930	24065
1367	93001	23998
1368	93068	23929
1369	93137	23862
1370	93209	23795
1371	93277	23727
1372	93341	23658
1373	93414	23591
1374	93479	23522
1375	93545	23454
1376	93610	23385
1377	93676	23317
1378	93741	23248
1379	93813	23181
1380	93886	23114
1381	93955	23047
1382	94026	22979
1383	94094	22911
1384	94159	22842
1385	94222	22773
1386	94288	22705
1387	94353	22636
1388	94419	22568
1389	94486	22499
1390	94557	22432
1391	94627	22365
1392	94696	22297
1393	94766	22230
1394	94836	22162
1395	94910	22095
1396	94985	22029
1397	95056	21962
1398	95124	21894
1399	95194	21826
1400	95267	21759
1401	95337	21692
1402	95409	21625
1403	95478	21557
1404	95548	21489
1405	95621	21423
1406	95690	21355
1407	95760	21287
1408	95831	21220
1409	95904	21153
1410	95976	21086
1411	96048	21019
1412	96123	20952
1413	96198	20886
1414	96265	20817
1415	96333	20749
1416	96402	20681
1417	96474	20614
1418	96551	20548
1419	96622	20481
1420	96689	20412
1421	96757	20344
1422	96821	20276
1423	96889	20208
1424	96960	20140
1425	97028	20072
1426	97095	20004
1427	97164	19936
1428	97235	19869
1429	97297	19799
1430	97364	19731
1431	97430	19663
1432	97497	19594
1433	97563	19526
1434	97631	19458
1435	97699	19390
1436	97770	19322
1437	97842	19255
1438	97920	19189
1439	97991	19122
1440	98059	19053
1441	98126	18985
1442	98194	18917
1443	98260	18849
1444	98327	18780
1445	98403	18714
1446	98467	18645
1447	98538	18577
1448	98610	18510
1449	98678	18442
1450	98745	18374
1451	98811	18305
1452	98879	18237
1453	98945	18169
1454	99013	18101
1455	99080	18033
1456	99146	17964
1457	99216	17897
1458	99287	17829
1459	99353	17761
1460	99420	17692
1461	99486	17624
1462	99554	17556
1463	99620	17487
1464	99684	17419
1465	99752	17351
1466	99818	17282
1467	99892	17215
1468	99966	17148
1469	100036	17081
1470	100105	17013
1471	100172	16944
1472	100240	16876
1473	100303	16807
1474	100367	16739
1475	100434	16670
1476	100499	16602
1477	100569	16534
1478	100637	16466
1479	100703	16398
1480	100770	16330
1481	100835	16261
1482	100901	16193
1483	100967	16124
1484	101034	16056
1485	101099	15988
1486	101164	15919
1487	101235	15852
1488	101307	15784
1489	101375	15716
1490	101445	15648
1491	101508	15580
1492	101575	15511
1493	101639	15443
1494	101707	15375
1495	101775	15307
1496	101844	15239
1497	101918	15172
1498	101985	15103
1499	102052	15035
1500	102123	14968
1501	102188	14899
1502	102253	14831
1503	102319	14762
1504	102384	14694
1505	102450	14626
1506	102516	14557
1507	102581	14489
1508	102651	14421
1509	102718	14353
1510	102787	14285
1511	102852	14217
1512	102928	14150
1513	102998	14082
1514	103065	14014
1515	103134	13946
1516	103202	13878
1517	103272	13810
1518	103343	13742
1519	103412	13674
1520	103478	13606
1521	103544	13538
1522	103609	13469
1523	103675	13401
1524	103743	13333
1525	103810	13265
1526	103877	13197
1527	103947	13129
1528	104017	13061
1529	104083	12993
1530	104148	12925
1531	104214	12856
1532	104280	12788
1533	104349	12720
1534	104415	12652
1535	104481	12584
1536	104551	12516
1537	104619	12448
1538	104688	12380
1539	104756	12312
1540	104821	12243
1541	104886	12175
1542	104952	12107
1543	105017	12038
1544	105083	11970
1545	105150	11902
1546	105218	11834
1547	105288	11766
1548	105360	11699
1549	105427	11630
1550	105492	11562
1551	105559	11494
1552	105621	11425
1553	105687	11357
1554	105754	11289
1555	105819	11221
1556	105884	11152
1557	105959	11085
1558	106029	11017
1559	106099	10949
1560	106167	10881
1561	106234	10813
1562	106300	10745
1563	106366	10677
1564	106433	10609
1565	106503	10541
1566	106571	10473
1567	106642	10405
1568	106708	10337
1569	106774	10269
1570	106836	10200
1571	106901	10132
1572	106968	10064
1573	107033	9996
1574	107101	9928
1575	107166	9859
1576	107234	9791
1577	107306	9724
1578	107376	9656
1579	107443	9588
1580	107509	9520
1581	107578	9452
1582	107642	9383
1583	107711	9315
1584	107776	9247
1585	107841	9179
1586	107910	9111
1587	107986	9044
1588	108057	8976
1589	108126	8908
1590	108192	8840
1591	108263	8772
1592	108329	8704
1593	108393	8636
1594	108458	8567
1595	108523	8499
1596	108594	8431
1597	108670	8364
1598	108740	8296
1599	108800	8228
1600	108864	8159
1601	108933	8091
1602	109004	8024
1603	109074	7956
1604	109139	7887
1605	109203	7819
1606	109271	7751
1607	109344	7684
1608	109413	7616
1609	109480	7548
1610	109545	7479
1611	109611	7411
1612	109679	7343
1613	109745	7275
1614	109812	7207
1615	109876	7139
1616	109944	7071
1617	110016	7003
1618	110085	6935
1619	110153	6867
1620	110219	6799
1621	110288	6731
1622	110356	6663
1623	110421	6595
1624	110486	6527
1625	110552	6459
1626	110621	6391
1627	110693	6323
1628	110762	6255
1629	110835	6187
1630	110906	6119
1631	110978	6052
1632	111050	5984
1633	111122	5916
1634	111191	5848
1635	111260	5780
1636	111333	5712
1637	111408	5645
1638	111480	5577
1639	111552	5509
1640	111621	5441
1641	111694	5373
1642	111764	5305
1643	111839	5238
1644	111910	5170
1645	111985	5102
1646	112064	5035
1647	112140	4967
1648	112211	4899
1649	112280	4831
1650	112347	4763
1651	112413	4695
1652	112480	4627
1653	112552	4559
1654	112624	4491
1655	112695	4423
1656	112764	4355
1657	112833	4287
1658	112900	4219
1659	112973	4151
